id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
196,Dark Love,Documentary,Action,None,1996,34,G,Japanese,UK,3.9,11115414,64610932.91,0,0,FALSE,2023-02-11,FALSE
197,Story Warrior,TV Series,Comedy,Family,1996,51,NC-17,French,USA,4.9,11115414,64610932.91,9,168,TRUE,2021-05-23,FALSE
198,Princess Adventure,Limited Series,Comedy,None,1996,68,TV-G,Spanish,USA,3.8,11115414,64610932.91,9,132,FALSE,2025-01-13,FALSE
199,War Journey,Stand-up Comedy,Comedy,History,1996,77,TV-MA,English,USA,3.6,11115414,64610932.91,0,0,FALSE,2021-12-24,FALSE
200,Mystery Love,Movie,Drama,None,1996,87,TV-Y,French,South Korea,8.6,11115414,544577,0,0,TRUE,2025-03-25,TRUE
201,Adventure Dream,Movie,Fantasy,None,1996,99,TV-G,English,Canada,6.0,8590064,64610932.91,0,0,FALSE,2024-07-30,FALSE
202,First Queen,TV Series,Fantasy,None,1996,46,NC-17,English,USA,5.8,11115414,64610932.91,9,14,FALSE,2024-03-16,FALSE
203,Story Phoenix,Stand-up Comedy,Horror,None,1996,51,NC-17,Korean,USA,6.8,11115414,64610932.91,0,0,TRUE,2024-11-11,FALSE
204,Our Ice,Documentary,Horror,None,1996,87,TV-Y7,French,USA,6.8,11115414,64610932.91,0,0,FALSE,2021-12-16,FALSE
205,Story Phoenix,Stand-up Comedy,Horror,None,1996,51,NC-17,Korean,USA,6.8,11115414,64610932.91,0,0,TRUE,2024-11-11,FALSE
206,New Phoenix,Limited Series,Music,None,1996,18,NC-17,Korean,Canada,6.4,11115414,64610932.91,6,151,FALSE,2022-06-15,FALSE
207,Legend Warrior,Movie,Music,None,1996,62,PG,Korean,USA,7.5,11115414,4201576,0,0,FALSE,2024-04-17,FALSE
208,City Fire,Documentary,Sci-Fi,Fantasy,1996,68,NC-17,English,USA,7.1,11115414,64610932.91,0,0,FALSE,2023-11-05,FALSE
209,A Storm,Documentary,Sci-Fi,Romance,1996,118,TV-Y,Hindi,Canada,6.3,11115414,64610932.91,0,0,FALSE,2022-11-12,FALSE
210,Quest Fire,Limited Series,Sport,War,1996,68,TV-Y7,English,Canada,4.8,11115414,64610932.91,11,37,TRUE,2021-05-03,FALSE
211,Little House,TV Series,Thriller,None,1996,40,TV-MA,Spanish,South Korea,8.0,11115414,64610932.91,12,52,FALSE,2024-03-16,FALSE
212,Last Kingdom,Movie,War,Crime,1996,113,TV-14,English,USA,6.6,11115414,64610932.91,0,0,FALSE,2024-06-23,FALSE
213,Queen House,Movie,Western,Fantasy,1996,112,PG,English,USA,6.1,4019610,64610932.91,0,0,FALSE,2025-05-23,FALSE
214,War Phoenix,Stand-up Comedy,Action,None,1997,74,TV-MA,English,Germany,8.0,11115414,64610932.91,0,0,FALSE,2022-04-20,TRUE
215,Big Princess,Movie,Adventure,Comedy,1997,137,TV-Y,English,USA,6.2,3593765,2259750,0,0,TRUE,2021-01-18,FALSE
216,Hero Kingdom,Movie,Adventure,None,1997,165,G,Hindi,UK,6.9,1360448,656952,0,0,FALSE,2021-04-22,FALSE
217,Ice Queen,Stand-up Comedy,Adventure,None,1997,51,TV-Y,English,Germany,6.3,11115414,64610932.91,0,0,FALSE,2025-04-19,FALSE
218,Storm Night,TV Series,Adventure,Documentary,1997,77,TV-Y,Italian,India,7.1,11115414,64610932.91,2,26,FALSE,2022-12-01,FALSE
219,Big Princess,Movie,Adventure,Comedy,1997,137,TV-Y,English,USA,6.2,3593765,2259750,0,0,TRUE,2021-01-18,FALSE
220,Hero Story,Movie,Animation,None,1997,101,R,English,South Korea,5.5,20876719,64610932.91,0,0,FALSE,2023-09-28,FALSE
221,Dark Secret,Movie,Animation,None,1997,111,TV-Y7,English,USA,7.9,5640579,96414255,0,0,TRUE,2020-10-28,FALSE
222,City Secret,Movie,Animation,None,1997,120,TV-MA,German,UK,4.8,19469161,64610932.91,0,0,FALSE,2024-12-29,FALSE
223,New Quest,Movie,Comedy,None,1997,147,TV-MA,Italian,USA,6.9,1340534,7497976,0,0,TRUE,2022-12-11,FALSE
224,Secret Ice,Movie,Comedy,Drama,1997,90,TV-Y,English,USA,4.2,2199222,32143697,0,0,FALSE,2024-03-05,TRUE
225,Love King,TV Series,Comedy,None,1997,75,G,English,Japan,4.1,11115414,64610932.91,10,44,FALSE,2022-10-18,FALSE
226,Bright War,Movie,Crime,Sci-Fi,1997,95,G,English,South Korea,9.9,11115414,72997481,0,0,FALSE,2025-05-22,FALSE
227,Love Love,Movie,Crime,Mystery,1997,103,G,English,USA,6.9,5781768,64610932.91,0,0,TRUE,2023-02-13,FALSE
228,Ice War,Movie,Crime,None,1997,16,TV-Y7,English,USA,7.0,49649970,139707,0,0,FALSE,2024-01-06,FALSE
229,Kingdom Phoenix,Movie,Documentary,Music,1997,113,PG-13,English,USA,8.0,4214426,792291,0,0,FALSE,2021-01-21,FALSE
230,Bright Family,Movie,Documentary,None,1997,65,TV-MA,English,USA,7.9,10706001,1631334,0,0,FALSE,2020-09-13,FALSE
231,Bright Battle,Movie,Drama,None,1997,105,TV-MA,English,USA,6.3,5521994,64610932.91,0,0,FALSE,2021-09-06,FALSE
232,Love Dream,TV Series,Drama,None,1997,73,TV-PG,French,USA,7.4,11115414,64610932.91,3,73,FALSE,2024-03-12,FALSE
233,A Mystery,Movie,Family,Western,1997,105,R,English,Japan,7.8,2121696,64610932.91,0,0,TRUE,2021-09-23,FALSE
234,Queen Dream,Stand-up Comedy,Fantasy,Crime,1997,75,TV-Y7,Spanish,USA,6.5,11115414,64610932.91,0,0,TRUE,2023-07-11,FALSE
235,Love Battle,TV Series,History,None,1997,32,TV-PG,English,USA,6.3,11115414,64610932.91,3,120,TRUE,2022-10-15,FALSE
236,Our King,Documentary,History,Biography,1997,71,PG,English,South Korea,6.6,11115414,64610932.91,0,0,TRUE,2021-09-12,TRUE
237,Phoenix Love,Movie,Horror,None,1997,537,R,English,South Korea,6.1,431570,6675003,0,0,FALSE,2024-03-10,TRUE
238,Fire Mystery,TV Series,Horror,None,1997,28,TV-PG,French,USA,4.6,11115414,64610932.91,5,68,TRUE,2024-03-21,FALSE
239,War Storm,TV Series,Mystery,None,1997,66,TV-Y7,Spanish,USA,8.9,11115414,64610932.91,1,101,TRUE,2022-07-29,FALSE
240,Big Hero,Stand-up Comedy,Mystery,Fantasy,1997,51,R,English,Canada,7.9,11115414,64610932.91,0,0,TRUE,2021-02-05,FALSE
241,Day Mystery,Movie,Mystery,None,1997,113,PG,French,USA,6.0,4169507,219618052,0,0,FALSE,2024-02-03,FALSE
242,Big Quest,Documentary,Mystery,None,1997,28,G,English,USA,3.4,11115414,64610932.91,0,0,FALSE,2025-04-20,FALSE
243,Queen Queen,Movie,Sci-Fi,None,1997,122,TV-Y,English,India,2.5,447581,391734641,0,0,FALSE,2023-09-15,FALSE
244,Secret Mission,TV Series,Sci-Fi,None,1997,69,NC-17,English,South Korea,6.4,11115414,64610932.91,2,24,FALSE,2021-05-28,TRUE
245,Secret Mission,TV Series,Sci-Fi,None,1997,69,NC-17,English,South Korea,6.4,11115414,64610932.91,2,24,FALSE,2021-05-28,TRUE
246,Empire Legend,Movie,Sport,Western,1997,29,PG-13,Spanish,Canada,3.5,1437629,5514939,0,0,FALSE,2020-08-06,FALSE
247,Legend Love,Documentary,War,None,1997,66,PG,English,USA,5.2,11115414,64610932.91,0,0,FALSE,2025-05-30,FALSE
248,Ice Phoenix,Movie,War,None,1997,98,TV-MA,English,USA,8.1,11115414,2089087,0,0,TRUE,2024-08-04,TRUE
249,City Legend,TV Series,War,Biography,1997,44,PG,English,USA,7.7,11115414,64610932.91,7,64,TRUE,2024-01-14,FALSE
250,Dragon Mission,Movie,War,Fantasy,1997,137,TV-G,English,USA,4.6,4450850,64610932.91,0,0,FALSE,2021-01-30,FALSE
251,My Quest,Movie,Action,None,1998,100,TV-14,English,UK,5.3,1055495,1732903,0,0,FALSE,2023-04-24,TRUE
252,Storm Fire,TV Series,Action,Family,1998,37,TV-Y,English,USA,7.5,11115414,64610932.91,7,65,FALSE,2025-03-16,FALSE
253,First Phoenix,TV Series,Adventure,Thriller,1998,36,TV-14,English,USA,6.3,11115414,64610932.91,13,15,FALSE,2025-04-11,FALSE
254,Journey House,Movie,Animation,Drama,1998,95,NC-17,German,USA,5.5,1622983,64610932.91,0,0,TRUE,2021-11-01,FALSE
255,An Empire,TV Series,Animation,None,1998,28,PG-13,English,France,8.3,11115414,64610932.91,8,104,TRUE,2022-06-30,FALSE
256,Little Dream,Limited Series,Animation,Documentary,1998,61,TV-Y7,English,USA,3.7,11115414,64610932.91,7,120,TRUE,2024-07-08,TRUE
257,Big Adventure,Documentary,Biography,Family,1998,68,G,English,UK,0.6,11115414,64610932.91,0,0,TRUE,2024-07-11,FALSE
258,Princess King,Movie,Biography,None,1998,146,TV-PG,English,Japan,6.8,2068155,57012483,0,0,FALSE,2025-06-10,FALSE
259,Queen Day,Movie,Comedy,Adventure,1998,122,NC-17,English,USA,5.5,3551286,64610932.91,0,0,TRUE,2022-06-03,FALSE
260,Our Hero,Movie,Comedy,None,1998,111,TV-PG,English,USA,9.3,6199801,15193445,0,0,FALSE,2022-09-12,FALSE
261,Story Warrior,Limited Series,Comedy,None,1998,39,TV-14,Hindi,India,6.2,11115414,64610932.91,13,31,FALSE,2022-10-31,FALSE
262,War Queen,Movie,Comedy,None,1998,136,PG-13,English,Japan,6.3,14508562,7872086,0,0,FALSE,2021-03-22,FALSE
263,War Fire,Movie,Comedy,Family,1998,60,PG-13,English,USA,4.8,2630439,64610932.91,0,0,FALSE,2024-03-28,FALSE
264,Phoenix Day,Stand-up Comedy,Crime,None,1998,89,TV-Y7,English,UK,7.6,11115414,64610932.91,0,0,FALSE,2025-04-11,FALSE
265,Night Phoenix,Movie,Documentary,Crime,1998,114,PG,English,Germany,6.8,11115414,39250966,0,0,TRUE,2023-09-08,TRUE
266,House Mission,Movie,Documentary,None,1998,123,TV-Y,English,Canada,8.6,821338,2563997,0,0,TRUE,2024-10-27,FALSE
267,Bright Queen,Movie,Drama,None,1998,133,NC-17,French,USA,7.8,3337484,33861358,0,0,FALSE,2023-11-06,FALSE
268,Adventure War,Documentary,History,Biography,1998,78,TV-MA,French,South Korea,7.3,11115414,64610932.91,0,0,TRUE,2021-10-04,FALSE
269,Night Princess,TV Series,History,War,1998,12,TV-14,English,Canada,6.4,11115414,64610932.91,11,41,FALSE,2022-09-21,FALSE
270,Dark Princess,Movie,Horror,Sport,1998,117,PG,English,Japan,5.4,11115414,6128075,0,0,FALSE,2022-04-16,FALSE
271,New Story,Movie,Horror,None,1998,67,PG-13,Italian,UK,5.6,3291844,9314738,0,0,TRUE,2022-08-16,TRUE
272,Storm Dream,Movie,Horror,None,1998,99,TV-PG,Japanese,Japan,9.2,9850569,8806633,0,0,FALSE,2024-05-09,FALSE
273,New Story,Movie,Horror,None,1998,67,PG-13,Italian,UK,5.6,3291844,9314738,0,0,TRUE,2022-08-16,TRUE
274,Story Warrior,Movie,Music,None,1998,129,R,English,Canada,10.0,1568923,910439,0,0,FALSE,2021-07-11,FALSE
275,Princess Queen,Movie,Mystery,None,1998,113,NC-17,Hindi,UK,6.6,357135,1413140,0,0,FALSE,2022-07-31,FALSE
276,Kingdom Princess,TV Series,Romance,None,1998,39,PG-13,Italian,USA,6.1,11115414,64610932.91,2,97,FALSE,2022-04-12,FALSE
277,Dream Warrior,Movie,Romance,Action,1998,93,TV-Y,Spanish,USA,10.0,1359172,2925013,0,0,FALSE,2022-07-09,FALSE
278,Warrior Empire,TV Series,Romance,None,1998,48,NC-17,German,Canada,6.3,11115414,64610932.91,9,107,FALSE,2022-04-21,FALSE
279,First Mystery,Movie,Sci-Fi,None,1998,115,TV-PG,English,South Korea,6.3,2934549,40080746,0,0,TRUE,2022-09-12,FALSE
280,Bright Phoenix,TV Series,Sci-Fi,None,1998,19,TV-Y,Italian,UK,5.0,11115414,64610932.91,14,187,TRUE,2024-01-15,FALSE
281,War Dream,Limited Series,Sci-Fi,None,1998,24,NC-17,English,USA,6.7,11115414,64610932.91,11,30,TRUE,2025-05-18,FALSE
282,Battle King,TV Series,Thriller,Drama,1998,22,TV-MA,English,Canada,5.2,11115414,64610932.91,13,177,TRUE,2020-11-24,FALSE
283,Dragon City,Stand-up Comedy,War,Documentary,1998,379,TV-G,English,USA,5.2,11115414,64610932.91,0,0,FALSE,2023-01-31,FALSE
284,Storm Legend,TV Series,War,None,1998,48,TV-MA,English,Japan,6.0,11115414,64610932.91,9,85,FALSE,2021-07-21,FALSE
285,Phoenix House,Movie,War,Thriller,1998,114,TV-MA,Hindi,Japan,7.1,11115414,17204463,0,0,FALSE,2024-01-14,FALSE
286,Storm Legend,TV Series,War,None,1998,48,TV-MA,English,Japan,6.0,11115414,64610932.91,9,85,FALSE,2021-07-21,FALSE
287,Storm Day,TV Series,Western,None,1998,53,TV-PG,English,Canada,6.9,11115414,64610932.91,13,81,FALSE,2025-01-20,FALSE
288,A Dream,Stand-up Comedy,Western,None,1998,67,TV-MA,English,USA,5.7,11115414,64610932.91,0,0,FALSE,2022-03-23,FALSE
289,Family Story,TV Series,Western,None,1998,43,TV-Y7,English,USA,7.9,11115414,64610932.91,10,163,FALSE,2023-10-01,FALSE
290,Little Mission,Documentary,Western,None,1998,90,G,Spanish,USA,8.6,11115414,64610932.91,0,0,TRUE,2022-02-22,FALSE
291,Story Night,Stand-up Comedy,Adventure,Animation,1999,52,PG,Spanish,France,7.3,11115414,64610932.91,0,0,FALSE,2023-08-24,FALSE
292,Adventure Secret,Documentary,Adventure,None,1999,104,TV-MA,Japanese,USA,8.2,11115414,64610932.91,0,0,TRUE,2023-11-14,FALSE
293,An Family,Movie,Animation,None,1999,11,TV-PG,Italian,USA,6.5,11115414,3662515,0,0,FALSE,2024-02-08,FALSE
294,Mystery Mystery,Movie,Biography,None,1999,114,PG,Korean,USA,4.0,42562175,4613013,0,0,FALSE,2022-09-13,FALSE
295,Secret Mission,Movie,Biography,None,1999,84,PG-13,Spanish,USA,9.3,7872425,5076773,0,0,FALSE,2023-04-23,FALSE
296,Old House,TV Series,Comedy,None,1999,70,TV-G,English,USA,6.3,11115414,64610932.91,9,151,FALSE,2024-03-08,TRUE
297,Hero Ice,Movie,Comedy,None,1999,101,PG,English,USA,6.8,3951401,32741225,0,0,FALSE,2023-07-24,FALSE
298,Our City,Movie,Crime,None,1999,113,TV-MA,English,France,6.5,11115414,2627409,0,0,FALSE,2024-07-19,TRUE
299,Adventure Queen,TV Series,Documentary,Drama,1999,42,G,English,Germany,7.4,11115414,64610932.91,13,141,TRUE,2025-07-19,FALSE
300,Bright Love,Documentary,Drama,Western,1999,108,TV-G,Spanish,South Korea,5.0,11115414,64610932.91,0,0,FALSE,2020-11-27,FALSE
301,Last Dream,TV Series,Family,None,1999,54,PG-13,Spanish,USA,6.0,11115414,64610932.91,7,139,FALSE,2022-01-19,FALSE
302,Little War,Movie,Fantasy,Mystery,1999,143,NC-17,Hindi,USA,6.3,1035450,64610932.91,0,0,FALSE,2022-03-30,FALSE
303,Mystery Secret,Documentary,History,Biography,1999,75,TV-Y7,Korean,USA,6.6,11115414,64610932.91,0,0,FALSE,2021-05-26,FALSE
304,King Kingdom,Movie,Horror,Western,1999,118,TV-MA,English,Canada,8.5,3103842,1012901,0,0,FALSE,2025-05-01,FALSE
305,An Dragon,TV Series,Horror,None,1999,31,R,Japanese,USA,7.0,11115414,64610932.91,7,80,FALSE,2020-08-03,FALSE
306,Mystery City,Movie,Horror,None,1999,109,TV-Y,English,USA,4.3,50678574,64610932.91,0,0,TRUE,2022-09-03,TRUE
307,House Phoenix,TV Series,Music,Romance,1999,42,G,English,USA,6.3,11115414,64610932.91,14,85,TRUE,2024-05-04,FALSE
308,Love Empire,TV Series,Music,History,1999,43,TV-PG,Korean,USA,7.9,11115414,64610932.91,14,67,FALSE,2023-07-28,FALSE
309,King Legend,Stand-up Comedy,Mystery,None,1999,98,TV-14,English,Canada,5.9,11115414,64610932.91,0,0,TRUE,2022-12-31,TRUE
310,New Warrior,Documentary,Romance,None,1999,80,PG,English,Japan,8.1,11115414,64610932.91,0,0,FALSE,2025-06-18,TRUE
311,Family Mystery,Stand-up Comedy,Romance,None,1999,522,TV-G,Korean,USA,5.9,11115414,64610932.91,0,0,FALSE,2024-12-14,FALSE
312,A Storm,Stand-up Comedy,Sci-Fi,None,1999,57,TV-MA,English,South Korea,7.7,11115414,64610932.91,0,0,FALSE,2020-12-07,FALSE
313,Story Warrior,Movie,Sci-Fi,None,1999,126,TV-14,English,South Korea,6.4,857249,816259,0,0,TRUE,2023-01-04,FALSE
314,Mission Storm,Stand-up Comedy,Sci-Fi,War,1999,87,TV-G,German,USA,5.8,11115414,64610932.91,0,0,FALSE,2023-08-31,FALSE
315,Secret Family,Movie,Thriller,Fantasy,1999,76,TV-Y7,English,UK,4.6,460104,11699392,0,0,FALSE,2022-08-05,FALSE
316,Bright Mystery,Movie,War,Documentary,1999,140,TV-14,English,USA,6.3,301637,12090436,0,0,TRUE,2022-12-13,FALSE
317,The Fire,Documentary,Action,None,2000,364,TV-PG,Spanish,USA,3.0,11115414,64610932.91,0,0,FALSE,2023-09-12,FALSE
318,Family Princess,Movie,Adventure,None,2000,67,G,English,France,8.4,11115414,35807632,0,0,FALSE,2023-05-17,FALSE
319,Queen King,Movie,Animation,None,2000,74,TV-G,English,Japan,9.0,3791520,64610932.91,0,0,FALSE,2021-07-30,FALSE
320,Warrior Ice,TV Series,Biography,History,2000,43,TV-G,English,USA,6.6,11115414,64610932.91,6,29,TRUE,2020-09-15,FALSE
321,Last King,Movie,Biography,None,2000,120,PG,Japanese,South Korea,9.3,11115414,64610932.91,0,0,FALSE,2023-04-21,FALSE
322,Last Love,TV Series,Comedy,None,2000,78,PG,English,India,8.6,11115414,64610932.91,10,121,FALSE,2025-02-23,FALSE
323,Adventure Fire,Documentary,Comedy,None,2000,91,R,Spanish,France,5.1,11115414,64610932.91,0,0,FALSE,2025-01-19,FALSE
324,House Hero,TV Series,Crime,None,2000,31,TV-Y7,German,UK,6.3,11115414,64610932.91,3,24,FALSE,2024-02-13,FALSE
325,Dragon War,TV Series,Crime,None,2000,66,TV-Y7,English,Canada,6.2,11115414,64610932.91,10,117,FALSE,2021-07-08,FALSE
326,Legend House,Documentary,Documentary,None,2000,84,PG-13,English,USA,7.3,11115414,64610932.91,0,0,TRUE,2021-06-26,FALSE
327,Journey Warrior,Stand-up Comedy,Drama,Drama,2000,61,TV-14,English,Canada,6.3,11115414,64610932.91,0,0,FALSE,2023-02-20,FALSE
328,First Phoenix,Movie,Fantasy,None,2000,128,TV-G,Italian,USA,7.8,747506,151826737,0,0,FALSE,2021-03-14,TRUE
329,Mission Empire,Movie,Fantasy,None,2000,131,TV-Y7,English,UK,8.4,195174,64610932.91,0,0,TRUE,2021-04-01,TRUE
330,Warrior Mystery,TV Series,Music,Animation,2000,54,TV-MA,English,USA,6.3,11115414,64610932.91,7,157,FALSE,2025-04-29,TRUE
331,Legend Ice,Stand-up Comedy,Mystery,None,2000,35,TV-PG,English,USA,6.0,11115414,64610932.91,0,0,TRUE,2021-03-18,FALSE
332,Battle Queen,Movie,Mystery,None,2000,118,TV-Y,English,UK,7.0,11115414,64610932.91,0,0,FALSE,2025-01-22,FALSE
333,Day Mission,Movie,Romance,Fantasy,2000,86,PG-13,German,USA,7.1,3817917,7105587,0,0,FALSE,2021-09-12,FALSE
334,Mission Fire,Stand-up Comedy,Sci-Fi,Crime,2000,36,TV-Y7,English,USA,6.3,11115414,64610932.91,0,0,TRUE,2023-10-10,FALSE
335,Queen Night,Documentary,Sci-Fi,None,2000,89,TV-14,French,France,7.7,11115414,64610932.91,0,0,FALSE,2024-01-21,FALSE
336,Little Phoenix,TV Series,Sport,Horror,2000,55,PG-13,Hindi,USA,6.6,11115414,64610932.91,3,29,FALSE,2023-06-19,FALSE
337,House Day,Documentary,Thriller,None,2000,128,TV-MA,Hindi,UK,8.0,11115414,64610932.91,0,0,FALSE,2025-02-25,FALSE
338,Night Battle,Stand-up Comedy,Thriller,Western,2000,62,PG,English,USA,6.2,11115414,64610932.91,0,0,FALSE,2021-03-21,FALSE
339,War Day,TV Series,Thriller,None,2000,55,TV-14,Korean,USA,6.1,11115414,64610932.91,11,184,FALSE,2024-03-30,FALSE
340,Last Night,Movie,Western,Biography,2000,106,PG,English,Japan,10.0,11115414,136292673,0,0,FALSE,2025-04-01,FALSE
341,Dark Mystery,Movie,Western,None,2000,144,PG,English,USA,6.3,1579910,64610932.91,0,0,FALSE,2024-11-06,FALSE
342,The City,Movie,Western,Music,2000,130,NC-17,English,USA,5.5,5203135,14104172,0,0,TRUE,2024-03-19,TRUE
343,A War,Stand-up Comedy,Adventure,None,2001,77,PG-13,English,USA,6.4,11115414,64610932.91,0,0,TRUE,2022-07-27,FALSE
344,First House,Documentary,Adventure,None,2001,404,NC-17,English,Canada,1.0,11115414,64610932.91,0,0,FALSE,2023-05-25,FALSE
345,Fire King,Movie,Adventure,None,2001,144,G,English,USA,6.4,6055248,54612,0,0,FALSE,2023-01-26,FALSE
346,A Love,Stand-up Comedy,Adventure,None,2001,97,G,English,USA,8.4,11115414,64610932.91,0,0,FALSE,2023-01-20,FALSE
347,Princess Queen,TV Series,Animation,Adventure,2001,36,R,English,USA,8.4,11115414,64610932.91,11,8,FALSE,2023-10-08,FALSE
348,Empire Princess,Documentary,Animation,None,2001,108,TV-Y,English,USA,6.8,11115414,64610932.91,0,0,FALSE,2023-09-10,FALSE
349,Old City,Movie,Animation,None,2001,74,G,English,USA,5.8,341904,6047181,0,0,FALSE,2023-03-10,FALSE
350,Adventure Story,Movie,Biography,None,2001,103,TV-Y7,English,USA,7.4,1502147,123063274,0,0,FALSE,2023-07-03,FALSE
351,Journey Story,Movie,Comedy,Comedy,2001,67,R,English,USA,5.1,1204081,64610932.91,0,0,FALSE,2024-09-25,TRUE
352,Quest Warrior,Movie,Comedy,Action,2001,83,G,English,France,6.5,10571426,2106307,0,0,FALSE,2023-09-28,FALSE
353,War Dragon,Limited Series,Crime,Family,2001,24,TV-14,English,Canada,8.2,11115414,64610932.91,10,185,FALSE,2024-07-19,FALSE
354,Love Kingdom,Movie,Crime,None,2001,104,G,Hindi,France,7.1,5073775,64610932.91,0,0,FALSE,2024-09-13,FALSE
355,Empire Adventure,Documentary,Documentary,None,2001,71,NC-17,English,UK,1.2,11115414,64610932.91,0,0,FALSE,2022-10-12,FALSE
356,Love Battle,Movie,Documentary,None,2001,94,TV-Y,English,UK,7.5,2350232,64610932.91,0,0,FALSE,2024-05-09,FALSE
357,Secret Night,Movie,Documentary,Drama,2001,146,TV-Y7,English,UK,6.3,14288760,3455247,0,0,TRUE,2021-07-08,FALSE
358,Battle Family,Movie,Drama,Mystery,2001,121,NC-17,Korean,India,7.7,6129856,6244192,0,0,FALSE,2023-01-23,FALSE
359,Ice Love,Documentary,Drama,None,2001,66,NC-17,Japanese,USA,9.5,11115414,64610932.91,0,0,TRUE,2022-07-24,FALSE
360,Queen Dragon,Documentary,Family,Family,2001,72,TV-14,Spanish,Germany,6.3,11115414,64610932.91,0,0,TRUE,2022-04-24,FALSE
361,Secret War,Movie,Fantasy,None,2001,102,TV-Y,Hindi,Canada,3.1,2137471,36710118,0,0,FALSE,2021-05-15,FALSE
362,Dark Secret,TV Series,Fantasy,None,2001,64,NC-17,English,USA,7.5,11115414,64610932.91,3,146,FALSE,2023-02-19,FALSE
363,Princess Hero,Documentary,Fantasy,Biography,2001,107,PG,German,USA,9.2,11115414,64610932.91,0,0,FALSE,2024-04-01,TRUE
364,Dragon King,Movie,History,None,2001,109,PG-13,English,Japan,6.6,3393573,40319055,0,0,TRUE,2022-07-25,FALSE
365,Mystery Dragon,Documentary,Romance,None,2001,73,TV-Y7,English,South Korea,6.3,11115414,64610932.91,0,0,TRUE,2021-07-05,FALSE
366,Quest Family,TV Series,Romance,None,2001,65,G,English,USA,6.1,11115414,64610932.91,8,25,FALSE,2024-05-16,FALSE
367,Dark Kingdom,TV Series,Romance,None,2001,66,R,German,USA,6.2,11115414,64610932.91,3,133,TRUE,2022-10-03,FALSE
368,Last Ice,Documentary,Sport,None,2001,77,R,German,USA,10.0,11115414,64610932.91,0,0,FALSE,2022-02-15,FALSE
369,Mystery Mystery,Movie,War,Fantasy,2001,107,TV-Y,English,South Korea,6.3,11115414,13208249,0,0,FALSE,2024-11-24,FALSE
370,Queen Journey,TV Series,War,None,2001,51,TV-MA,Spanish,South Korea,5.5,11115414,64610932.91,7,147,FALSE,2021-06-17,FALSE
371,Dark Ice,Movie,War,None,2001,59,PG-13,Spanish,USA,6.2,1930583,64610932.91,0,0,FALSE,2023-11-03,FALSE
372,Night Queen,Movie,Action,None,2002,73,TV-MA,Korean,UK,6.3,179175,28601135,0,0,FALSE,2024-05-29,FALSE
373,Last Mission,Stand-up Comedy,Action,None,2002,65,NC-17,German,Japan,1.2,11115414,64610932.91,0,0,FALSE,2023-01-07,TRUE
374,Kingdom Fire,Movie,Action,None,2002,522,PG,English,USA,4.7,3194690,33685913,0,0,TRUE,2021-12-26,TRUE
375,Day Legend,Movie,Action,Romance,2002,61,R,Japanese,Canada,9.4,11539630,248879,0,0,FALSE,2022-03-13,FALSE
376,House Dream,Limited Series,Adventure,Fantasy,2002,47,PG,English,USA,7.0,11115414,64610932.91,7,108,FALSE,2023-11-18,TRUE
377,Our Princess,TV Series,Animation,None,2002,55,G,English,South Korea,5.6,11115414,64610932.91,7,6,FALSE,2023-11-30,FALSE
378,Love Story,Movie,Animation,None,2002,53,TV-MA,English,India,4.3,5819919,20052531,0,0,TRUE,2023-01-24,FALSE
379,Legend Warrior,TV Series,Animation,None,2002,24,PG-13,English,Japan,6.3,11115414,64610932.91,8,82,FALSE,2020-09-30,FALSE
380,An Empire,Movie,Biography,None,2002,137,TV-Y7,English,South Korea,6.3,11115414,289539,0,0,FALSE,2025-04-13,FALSE
381,Hero Empire,Documentary,Crime,None,2002,92,TV-Y,English,South Korea,6.3,11115414,64610932.91,0,0,TRUE,2020-12-27,FALSE
382,Love Princess,Stand-up Comedy,Crime,War,2002,71,TV-Y,Spanish,Japan,5.9,11115414,64610932.91,0,0,FALSE,2024-06-21,FALSE
383,Queen Storm,TV Series,Crime,Drama,2002,50,TV-14,English,Germany,5.8,11115414,64610932.91,7,11,FALSE,2024-06-28,FALSE
384,Legend Secret,TV Series,Drama,None,2002,10,NC-17,English,USA,4.6,11115414,64610932.91,14,79,FALSE,2024-10-15,FALSE
385,My Dragon,Movie,Drama,None,2002,94,TV-Y7,Italian,USA,8.5,29878063,2421257,0,0,FALSE,2022-02-21,FALSE
386,The Dragon,TV Series,Family,None,2002,43,PG-13,English,USA,6.7,11115414,64610932.91,8,113,FALSE,2023-08-15,FALSE
387,Day Quest,Stand-up Comedy,Family,None,2002,530,TV-MA,Hindi,South Korea,6.3,11115414,64610932.91,0,0,FALSE,2020-11-27,FALSE
388,Fire Day,Movie,Fantasy,None,2002,137,TV-G,German,USA,8.9,365831,64610932.91,0,0,TRUE,2023-07-13,FALSE
389,Little Phoenix,Movie,Fantasy,None,2002,83,PG-13,English,Germany,6.6,154356219,64610932.91,0,0,FALSE,2023-02-15,FALSE
390,Dark Day,Documentary,Fantasy,Horror,2002,105,PG,Spanish,UK,5.9,11115414,64610932.91,0,0,TRUE,2025-07-06,FALSE
391,City Phoenix,Stand-up Comedy,History,None,2002,43,NC-17,Spanish,USA,6.6,11115414,64610932.91,0,0,FALSE,2020-12-19,FALSE
